26.040856 , 51        , It: 4000, Time: 26, covered: 42, reach_func: 4, reach_branch: 92
26.351651 , 1         , It: 4000, Time: 26, covered: 42, reach_func: 4, reach_branch: 92
54.660303 , 52        , It: 4000, Time: 28, covered: 42, reach_func: 4, reach_branch: 92
54.714834 , 2         , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
87.461332 , 53        , It: 4000, Time: 33, covered: 42, reach_func: 4, reach_branch: 92
87.718371 , 3         , It: 4000, Time: 33, covered: 42, reach_func: 4, reach_branch: 92
116.396426, 54        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
116.727708, 4         , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
145.42611 , 55        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
145.955282, 5         , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
174.048308, 56        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
174.437343, 6         , It: 4000, Time: 28, covered: 42, reach_func: 4, reach_branch: 92
202.639911, 57        , It: 4000, Time: 28, covered: 42, reach_func: 4, reach_branch: 92
203.072596, 7         , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
230.815821, 58        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
231.730779, 8         , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
260.343624, 59        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
260.717506, 9         , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
289.350602, 60        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
290.051817, 10        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
317.788652, 61        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
318.581643, 11        , It: 4000, Time: 28, covered: 42, reach_func: 4, reach_branch: 92
346.591935, 62        , It: 4000, Time: 28, covered: 42, reach_func: 4, reach_branch: 92
347.281119, 12        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
375.658518, 63        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
375.962415, 13        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
404.988175, 64        , It: 4000, Time: 30, covered: 42, reach_func: 4, reach_branch: 92
405.506443, 14        , It: 4000, Time: 29, covered: 42, reach_func: 4, reach_branch: 92
432.096684, 15        , It: 4000, Time: 27, covered: 42, reach_func: 4, reach_branch: 92
453.645416, 16        , It: 4000, Time: 21, covered: 42, reach_func: 4, reach_branch: 92
475.33842 , 17        , It: 4000, Time: 22, covered: 42, reach_func: 4, reach_branch: 92
496.429035, 18        , It: 4000, Time: 21, covered: 40, reach_func: 4, reach_branch: 92
517.375963, 19        , It: 4000, Time: 21, covered: 42, reach_func: 4, reach_branch: 92
538.704255, 20        , It: 4000, Time: 22, covered: 42, reach_func: 4, reach_branch: 92
560.876791, 21        , It: 4000, Time: 22, covered: 40, reach_func: 4, reach_branch: 92
582.200245, 22        , It: 4000, Time: 21, covered: 42, reach_func: 4, reach_branch: 92
603.462256, 23        , It: 4000, Time: 21, covered: 42, reach_func: 4, reach_branch: 92
624.682544, 24        , It: 4000, Time: 21, covered: 42, reach_func: 4, reach_branch: 92
646.263108, 25        , It: 4000, Time: 22, covered: 42, reach_func: 4, reach_branch: 92
